"","Freq_Position","DinExp_Position","Store_Position","Order","Freq_Response","DinExp_Response","Store_Response"
"1",2,3,1,"Store-Freq-DinExp","7-10 times","Good","Existing look"
"2",1,2,3,"Freq-DinExp-Store","1 time","Good","Existing look"
"3",1,2,3,"Freq-DinExp-Store","1 time","Satisfactory","New look"
"4",2,1,3,"DinExp-Freq-Store","1 time","Terrible","New look"
"5",2,3,1,"Store-Freq-DinExp","1 time","Terrible","New look"
"6",3,2,1,"Store-DinExp-Freq","2-3 times","Bad","New look"
"7",1,2,3,"Freq-DinExp-Store","1 time","Satisfactory","Existing look"
"8",1,2,3,"Freq-DinExp-Store","1 time","Good","New look"
"9",1,3,2,"Freq-Store-DinExp","1 time","Bad","Existing look"
"10",3,1,2,"DinExp-Store-Freq","1 time","Bad","Existing look"
"11",2,1,3,"DinExp-Freq-Store","2-3 times","Satisfactory","New look"
"12",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","New look"
"13",2,3,1,"Store-Freq-DinExp","2-3 times","Satisfactory","New look"
"14",1,2,3,"Freq-DinExp-Store","7-10 times","Good","New look"
"15",2,1,3,"DinExp-Freq-Store","7-10 times","Bad","New look"
"16",3,1,2,"DinExp-Store-Freq","1 time","Bad","New look"
"17",3,2,1,"Store-DinExp-Freq","More than 10 times","Excellent","Existing look"
"18",3,2,1,"Store-DinExp-Freq","2-3 times","Excellent","New look"
"19",2,3,1,"Store-Freq-DinExp","1 time","Terrible","Existing look"
"20",2,3,1,"Store-Freq-DinExp","1 time","Good","Existing look"
"21",1,3,2,"Freq-Store-DinExp","1 time","Terrible","Existing look"
"22",1,2,3,"Freq-DinExp-Store","1 time","Good","New look"
"23",3,2,1,"Store-DinExp-Freq","7-10 times","Satisfactory","Existing look"
"24",3,1,2,"DinExp-Store-Freq","1 time","Good","New look"
"25",2,3,1,"Store-Freq-DinExp","2-3 times","Excellent","Existing look"
"26",1,2,3,"Freq-DinExp-Store","4-6 times","Satisfactory","Existing look"
