Day,numGames,numSessions,DayNum,hasGame
3/9/13,0,1939,472,FALSE
7/13/12,0,638,233,FALSE
3/17/13,0,1969,480,FALSE
4/29/15,0,2179,1253,FALSE
9/4/13,0,4379,651,FALSE
12/11/13,0,3339,749,FALSE
7/16/12,0,627,236,FALSE
1/31/12,0,1506,71,FALSE
8/10/14,0,2341,991,FALSE
12/5/13,1,3396,743,TRUE
5/7/16,0,1947,1627,FALSE
1/16/12,0,2616,59,FALSE
11/20/15,0,5917,1458,FALSE
4/29/14,0,1908,888,FALSE
4/21/13,0,1250,515,FALSE
9/8/12,0,6001,290,FALSE
10/14/13,1,3113,691,TRUE
9/23/15,0,9277,1400,FALSE
1/27/16,0,5970,1526,FALSE
5/10/13,0,1045,534,FALSE
7/21/12,0,737,241,FALSE
10/18/14,0,6611,1060,FALSE
4/13/14,0,2493,872,FALSE
7/22/13,0,982,607,FALSE
1/10/12,0,1771,53,FALSE
7/31/14,0,1973,981,FALSE
9/26/15,0,9249,1403,FALSE
5/15/13,0,979,539,FALSE
10/11/14,0,6541,1053,FALSE
1/12/13,0,3555,416,FALSE
11/29/12,1,2417,372,TRUE
2/19/16,0,5247,1549,FALSE
4/17/13,0,1122,511,FALSE
8/2/14,0,2133,983,FALSE
7/23/12,0,691,243,FALSE
6/11/16,0,1286,1662,FALSE
4/1/16,0,3420,1591,FALSE
12/2/11,0,1658,14,FALSE
2/27/14,0,2591,827,FALSE
5/8/15,0,2404,1262,FALSE
1/18/13,0,2429,422,FALSE
4/8/13,0,1028,502,FALSE
7/27/15,0,2318,1342,FALSE
12/20/11,0,1819,32,FALSE
11/15/14,0,6007,1088,FALSE
9/10/14,0,7550,1022,FALSE
11/24/14,1,4168,1097,TRUE
5/4/16,0,1408,1624,FALSE
9/2/12,0,6709,284,FALSE
3/14/13,0,1675,477,FALSE
5/17/14,0,2325,906,FALSE
5/3/16,0,1707,1623,FALSE
11/9/12,0,2620,352,FALSE
12/24/15,1,8624,1492,TRUE
7/25/15,0,2330,1340,FALSE
11/11/12,12,3135,354,TRUE
9/24/15,1,8315,1401,TRUE
4/6/13,0,1337,500,FALSE
11/13/12,0,2583,356,FALSE
4/8/15,0,2683,1232,FALSE
5/10/12,0,665,169,FALSE
10/17/13,1,2947,694,TRUE
5/20/16,0,1289,1640,FALSE
4/11/15,0,3223,1235,FALSE
5/12/14,0,2035,901,FALSE
5/24/13,0,1132,548,FALSE
5/29/14,0,1626,918,FALSE
3/17/14,0,2564,845,FALSE
7/4/13,0,1068,589,FALSE
1/6/12,0,1859,49,FALSE
10/22/14,0,4874,1064,FALSE
5/20/12,0,774,179,FALSE
8/4/15,0,2375,1350,FALSE
6/12/16,0,1261,1663,FALSE
2/2/13,0,3000,437,FALSE
1/25/12,0,1630,65,FALSE
9/1/14,0,12509,1013,FALSE
4/17/15,0,2358,1241,FALSE
6/28/14,0,1611,948,FALSE
2/2/14,0,5192,802,FALSE
8/9/14,0,2135,990,FALSE
7/26/12,0,683,246,FALSE
9/2/15,0,12311,1379,FALSE
11/15/11,0,754,3,FALSE
1/17/14,0,4051,786,FALSE
9/26/13,1,3098,673,TRUE
4/8/16,0,2914,1598,FALSE
9/21/15,1,8080,1398,TRUE
3/13/13,0,1566,476,FALSE
8/28/13,0,6047,644,FALSE
12/12/15,0,7988,1480,FALSE
10/3/15,0,9395,1410,FALSE
1/17/13,0,2686,421,FALSE
4/18/12,0,723,148,FALSE
10/8/13,0,2712,685,FALSE
8/5/12,0,692,256,FALSE
6/15/15,0,1952,1300,FALSE
12/25/11,1,2135,37,TRUE
4/1/12,0,1073,131,FALSE
8/20/13,0,1109,636,FALSE
12/27/13,0,5609,765,FALSE
7/9/13,0,1025,594,FALSE
